User ID,Sight,Task,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,NASA,SEQ
1,0,2,2,1,2,13,14,2,5.666666667,19
1,0,4,15,2,2,13,14,2,8,12
3,0,2,1,1,1,20,2,1,4.333333333,20
3,0,4,1,1,2,20,5,12,6.833333333,6
5,0,2,4,6,4,12,4,5,5.833333333,17
5,0,4,4,3,2,15,7,7,6.333333333,19
6,0,2,2,1,10,20,1,1,5.833333333,20
6,0,4,20,20,11,20,20,1,15.33333333,1
7,1,2,6,2,8,18,3,3,6.666666667,17
7,1,4,16,12,3,9,14,4,9.666666667,6
8,1,2,3,2,4,17,3,2,5.166666667,17
8,1,4,3,3,1,17,1,2,4.5,16
9,0,2,6,1,8,3,1,2,3.5,20
9,0,4,3,3,14,6,1,1,4.666666667,20
12,0,2,20,5,12,16,7,8,11.33333333,15
12,0,4,13,12,12,12,9,13,11.83333333,9
13,0,2,14,8,9,12,14,9,11,13
13,0,4,15,13,9,12,13,10,12,15
14,1,2,1,4,12,19,14,1,8.5,18
14,1,4,5,2,2,20,13,2,7.333333333,18
15,1,2,8,14,15,20,6,1,10.66666667,15
15,1,4,8,13,5,15,9,6,9.333333333,16
16,1,2,15,17,6,17,14,5,12.33333333,17
16,1,4,17,13,3,18,3,1,9.166666667,18
17,1,2,9,6,4,10,14,11,9,10
17,1,4,6,8,1,6,15,3,6.5,7
18,1,2,2,2,4,17,3,1,4.833333333,19
18,1,4,4,4,6,14,13,6,7.833333333,15
