User,Sight,Session,Start,End,Dur,Time,ErrA,ErrB,Error
1,0,1,03:11:49,03:11:58,00:00:09,9,281.2689783,197.6813098,239.4751441
1,0,1,03:12:07,03:12:14,00:00:07,7,36.09108916,78.79630181,57.44369548
1,0,1,03:12:22,03:12:31,00:00:09,9,297.1641491,261.5608726,279.3625109
1,0,1,03:12:46,03:12:55,00:00:09,9,162.861366,188.4535845,175.6574752
1,0,1,03:13:03,03:13:13,00:00:10,10,290.6034292,204.7191421,247.6612856
1,0,1,03:13:18,03:13:24,00:00:06,6,188.3387679,118.1049723,153.2218701
1,0,2,03:16:37,03:16:45,00:00:08,8,167.83,85.63393414,126.7330211
1,0,2,03:16:56,03:17:05,00:00:09,9,189.2995015,102.7656407,146.0325711
1,0,2,03:17:15,03:17:23,00:00:08,8,275.0075966,182.0441465,228.5258715
1,0,2,03:17:33,03:17:39,00:00:06,6,129.7348041,46.13352499,87.93416453
1,0,2,03:17:51,03:17:58,00:00:07,7,75.73453759,64.51989082,70.12721421
1,0,2,03:18:09,03:18:14,00:00:05,5,56.17058436,52.8298386,54.50021148
1,0,2,03:18:31,03:18:38,00:00:07,7,29.62587543,90.47665836,60.05126689
1,0,2,03:18:47,03:18:54,00:00:07,7,67.20841162,147.5648593,107.3866355
1,0,2,03:19:09,03:19:16,00:00:07,7,148.4499532,104.5964843,126.5232187
1,0,2,03:19:27,03:19:33,00:00:06,6,205.4205053,123.7727219,164.5966136
1,0,3,03:21:28,03:21:35,00:00:07,7,447.3065527,476.7702407,462.0383967
1,0,3,03:21:45,03:21:52,00:00:07,7,42.04283323,46.12744241,44.08513782
1,0,3,03:22:01,03:22:07,00:00:06,6,108.3025445,114.6707803,111.4866624
1,0,3,03:22:14,03:22:19,00:00:05,5,93.59181115,103.7769282,98.68436965
1,0,3,03:22:27,03:22:33,00:00:06,6,86.76539859,87.82845077,87.29692468
1,0,3,03:22:41,03:22:46,00:00:05,5,149.9192351,148.7642727,149.3417539
1,0,4,03:32:30,03:32:39,00:00:09,9,75.41771635,73.64958843,74.53365239
1,0,4,03:32:46,03:32:56,00:00:10,10,58.01142727,57.51123167,57.76132947
1,0,4,03:33:04,03:33:11,00:00:07,7,52.76884116,48.3718781,50.57035963
1,0,4,03:33:22,03:33:38,00:00:16,16,124.1326718,126.1643751,125.1485234
1,0,4,03:33:52,03:34:00,00:00:08,8,126.5913623,104.6253842,115.6083732
1,0,4,03:34:08,03:34:26,00:00:18,18,152.9885888,184.8516222,168.9201055
1,0,4,03:34:37,03:34:45,00:00:08,8,40.54744763,38.62475461,39.58610112
1,0,4,03:34:54,03:35:04,00:00:10,10,102.147768,100.9939814,101.5708747
1,0,4,03:50:29,03:50:32,00:00:03,3,21.76066031,14.65669855,18.20867943
1,0,4,03:50:33,03:50:52,00:00:19,19,131.6130819,128.0117598,129.8124208
1,0,5,03:36:26,03:36:32,00:00:06,6,113.4907364,107.0202237,110.25548
1,0,5,03:36:46,03:36:53,00:00:07,7,163.5530197,171.7375987,167.6453092
1,0,5,03:37:05,03:37:12,00:00:07,7,117.3459299,124.2346625,120.7902962
1,0,5,03:37:26,03:37:31,00:00:05,5,202.9590071,217.7257004,210.3423538
1,0,5,03:37:42,03:37:48,00:00:06,6,216.1677844,205.7178625,210.9428235
1,0,5,03:37:57,03:38:04,00:00:07,7,78.35334855,82.90521483,80.62928169
3,0,1,10:15:14,10:15:25,00:00:11,11,55.20814597,60.27915587,57.74365092
3,0,1,10:15:35,10:15:45,00:00:10,10,242.3553737,233.8552956,238.1053346
3,0,1,10:16:37,10:16:46,00:00:09,9,189.6197716,183.2303784,186.425075
3,0,1,10:17:08,10:17:20,00:00:12,12,160.694594,140.9271403,150.8108672
3,0,1,10:17:48,10:18:00,00:00:12,12,88.01479467,109.314847,98.66482082
3,0,1,10:18:14,10:18:25,00:00:11,11,182.7899525,163.9130619,173.3515072
3,0,4,10:27:17,10:27:30,00:00:13,13,86.23399113,50.11890593,68.17644853
3,0,4,10:28:14,10:28:27,00:00:13,13,278.2085631,216.9958817,247.6022224
3,0,4,10:28:48,10:29:03,00:00:15,15,127.7934619,71.2367751,99.51511848
3,0,4,10:29:52,10:30:08,00:00:16,16,440.4657737,106.3868858,273.4263298
3,0,4,10:31:25,10:31:38,00:00:13,13,345.5249181,315.2378685,330.3813933
3,0,4,10:33:06,10:33:34,00:00:28,28,927.7317775,1045.791766,986.7617719
3,0,4,10:38:56,10:39:05,00:00:09,9,190.1828623,151.5839571,170.8834097
3,0,4,10:39:23,10:39:34,00:00:11,11,397.2745572,360.4341924,378.8543748
3,0,4,10:40:47,10:40:58,00:00:11,11,80.15383679,56.57195112,68.36289396
3,0,4,10:41:09,10:41:24,00:00:15,15,289.1283351,252.5966869,270.862511
3,0,5,10:47:32,10:47:42,00:00:10,10,149.2238706,226.2824773,187.7531739
3,0,5,10:47:54,10:48:05,00:00:11,11,94.0228526,99.1244469,96.57364975
3,0,5,10:48:16,10:48:25,00:00:09,9,106.9084027,153.0711683,129.9897855
3,0,5,10:48:32,10:48:40,00:00:08,8,140.1464033,149.5693126,144.8578579
3,0,5,10:48:51,10:48:57,00:00:06,6,77.16600957,131.3946322,104.2803209
